Open Time,Open,High,Low,Close,Close Time
2022-09-14 21:30:00,205.63000000,206.20000000,205.63000000,206.20000000,2022-09-14 21:30:59.999
2022-09-14 21:31:00,205.97000000,205.97000000,205.86000000,205.87000000,2022-09-14 21:31:59.999
2022-09-14 21:32:00,205.87000000,205.87000000,205.87000000,205.87000000,2022-09-14 21:32:59.999
2022-09-14 21:33:00,205.78000000,205.79000000,205.26000000,205.79000000,2022-09-14 21:33:59.999
2022-09-14 21:34:00,205.79000000,205.79000000,205.79000000,205.79000000,2022-09-14 21:34:59.999
2022-09-14 21:35:00,205.79000000,205.87000000,205.79000000,205.87000000,2022-09-14 21:35:59.999
2022-09-14 21:36:00,205.87000000,205.87000000,205.87000000,205.87000000,2022-09-14 21:36:59.999
2022-09-14 21:37:00,205.94000000,205.94000000,205.94000000,205.94000000,2022-09-14 21:37:59.999
2022-09-14 21:38:00,206.04000000,206.04000000,206.00000000,206.00000000,2022-09-14 21:38:59.999
2022-09-14 21:39:00,206.00000000,206.00000000,206.00000000,206.00000000,2022-09-14 21:39:59.999
2022-09-14 21:40:00,206.02000000,206.20000000,206.01000000,206.20000000,2022-09-14 21:40:59.999
2022-09-14 21:41:00,206.20000000,206.47000000,206.01000000,206.01000000,2022-09-14 21:41:59.999
2022-09-14 21:42:00,206.01000000,206.01000000,205.80000000,205.88000000,2022-09-14 21:42:59.999
2022-09-14 21:43:00,205.83000000,206.37000000,205.83000000,206.37000000,2022-09-14 21:43:59.999
2022-09-14 21:44:00,206.37000000,206.37000000,206.37000000,206.37000000,2022-09-14 21:44:59.999
2022-09-14 21:45:00,206.22000000,206.22000000,206.22000000,206.22000000,2022-09-14 21:45:59.999
2022-09-14 21:46:00,206.18000000,206.23000000,205.66000000,206.23000000,2022-09-14 21:46:59.999
2022-09-14 21:47:00,206.20000000,206.23000000,205.82000000,205.82000000,2022-09-14 21:47:59.999
2022-09-14 21:48:00,205.85000000,205.85000000,205.85000000,205.85000000,2022-09-14 21:48:59.999
2022-09-14 21:49:00,205.85000000,206.21000000,205.70000000,205.82000000,2022-09-14 21:49:59.999
2022-09-14 21:50:00,205.76000000,205.76000000,205.65000000,205.65000000,2022-09-14 21:50:59.999
2022-09-14 21:51:00,205.77000000,206.00000000,205.76000000,206.00000000,2022-09-14 21:51:59.999
2022-09-14 21:52:00,206.00000000,206.00000000,206.00000000,206.00000000,2022-09-14 21:52:59.999
2022-09-14 21:53:00,206.00000000,206.30000000,206.00000000,206.30000000,2022-09-14 21:53:59.999
2022-09-14 21:54:00,206.30000000,207.39000000,206.30000000,206.48000000,2022-09-14 21:54:59.999
2022-09-14 21:55:00,206.82000000,206.82000000,206.82000000,206.82000000,2022-09-14 21:55:59.999
2022-09-14 21:56:00,206.82000000,206.82000000,206.82000000,206.82000000,2022-09-14 21:56:59.999
2022-09-14 21:57:00,207.00000000,207.00000000,207.00000000,207.00000000,2022-09-14 21:57:59.999
2022-09-14 21:58:00,207.43000000,207.48000000,207.12000000,207.12000000,2022-09-14 21:58:59.999
2022-09-14 21:59:00,207.13000000,207.13000000,207.13000000,207.13000000,2022-09-14 21:59:59.999
2022-09-14 22:00:00,207.20000000,207.44000000,207.20000000,207.20000000,2022-09-14 22:00:59.999
2022-09-14 22:01:00,207.20000000,207.30000000,207.20000000,207.30000000,2022-09-14 22:01:59.999
2022-09-14 22:02:00,207.30000000,207.65000000,207.30000000,207.65000000,2022-09-14 22:02:59.999
2022-09-14 22:03:00,207.70000000,207.70000000,207.66000000,207.66000000,2022-09-14 22:03:59.999
2022-09-14 22:04:00,207.66000000,207.94000000,207.30000000,207.94000000,2022-09-14 22:04:59.999
2022-09-14 22:05:00,207.94000000,207.94000000,207.50000000,207.58000000,2022-09-14 22:05:59.999
2022-09-14 22:06:00,207.59000000,207.59000000,207.59000000,207.59000000,2022-09-14 22:06:59.999
2022-09-14 22:07:00,207.70000000,207.70000000,207.70000000,207.70000000,2022-09-14 22:07:59.999
2022-09-14 22:08:00,208.23000000,208.24000000,207.70000000,207.73000000,2022-09-14 22:08:59.999
2022-09-14 22:09:00,207.76000000,208.25000000,207.76000000,208.25000000,2022-09-14 22:09:59.999
2022-09-14 22:10:00,208.25000000,208.25000000,208.25000000,208.25000000,2022-09-14 22:10:59.999
2022-09-14 22:11:00,208.26000000,208.47000000,208.25000000,208.47000000,2022-09-14 22:11:59.999
2022-09-14 22:12:00,208.47000000,208.62000000,208.26000000,208.26000000,2022-09-14 22:12:59.999
