Open Time,Open,High,Low,Close,Close Time
2022-01-14 13:00:00,59.35500000,59.35800000,59.30200000,59.30200000,2022-01-14 13:00:59.999
2022-01-14 13:01:00,59.28800000,59.34000000,59.25000000,59.34000000,2022-01-14 13:01:59.999
2022-01-14 13:02:00,59.28000000,59.40700000,59.28000000,59.40600000,2022-01-14 13:02:59.999
2022-01-14 13:03:00,59.48300000,59.48300000,59.48300000,59.48300000,2022-01-14 13:03:59.999
2022-01-14 13:04:00,59.48000000,59.50900000,59.48000000,59.50900000,2022-01-14 13:04:59.999
2022-01-14 13:05:00,59.47900000,59.47900000,59.45000000,59.45400000,2022-01-14 13:05:59.999
2022-01-14 13:06:00,59.52000000,59.52000000,59.46100000,59.46100000,2022-01-14 13:06:59.999
2022-01-14 13:07:00,59.46100000,59.46100000,59.46100000,59.46100000,2022-01-14 13:07:59.999
2022-01-14 13:08:00,59.56500000,59.56500000,59.55900000,59.55900000,2022-01-14 13:08:59.999
2022-01-14 13:09:00,59.52700000,59.54800000,59.52700000,59.54800000,2022-01-14 13:09:59.999
2022-01-14 13:10:00,59.50200000,59.50200000,59.50200000,59.50200000,2022-01-14 13:10:59.999
2022-01-14 13:11:00,59.50000000,59.50200000,59.50000000,59.50200000,2022-01-14 13:11:59.999
2022-01-14 13:12:00,59.50400000,59.54800000,59.50200000,59.54800000,2022-01-14 13:12:59.999
2022-01-14 13:13:00,59.54800000,59.54800000,59.54800000,59.54800000,2022-01-14 13:13:59.999
2022-01-14 13:14:00,59.54500000,59.54600000,59.40200000,59.40200000,2022-01-14 13:14:59.999
2022-01-14 13:15:00,59.48200000,59.53700000,59.40500000,59.53700000,2022-01-14 13:15:59.999
2022-01-14 13:16:00,59.53700000,59.53700000,59.52300000,59.52500000,2022-01-14 13:16:59.999
2022-01-14 13:17:00,59.52500000,59.53400000,59.52300000,59.52300000,2022-01-14 13:17:59.999
2022-01-14 13:18:00,59.52800000,59.53900000,59.52700000,59.52700000,2022-01-14 13:18:59.999
2022-01-14 13:19:00,59.52300000,59.82700000,59.52300000,59.75400000,2022-01-14 13:19:59.999
2022-01-14 13:20:00,59.82900000,59.99800000,59.82900000,59.99600000,2022-01-14 13:20:59.999
2022-01-14 13:21:00,59.99600000,60.20000000,59.92600000,60.12500000,2022-01-14 13:21:59.999
2022-01-14 13:22:00,60.19700000,60.19800000,60.17200000,60.18900000,2022-01-14 13:22:59.999
2022-01-14 13:23:00,60.18700000,60.18900000,60.05100000,60.18900000,2022-01-14 13:23:59.999
2022-01-14 13:24:00,60.15000000,60.15000000,60.00000000,60.04600000,2022-01-14 13:24:59.999
2022-01-14 13:25:00,60.04200000,60.04200000,59.79500000,59.98400000,2022-01-14 13:25:59.999
